category,resolved_by,issue,record_type,record_id,venue_name,operator,what_the_pipeline_produced,source,snippet
needs_a_person,read the article and decide — this is the actual review queue,"Aramark CEO states they 'recently signed two leading universities, Drexel University and Temple University' in Philadelphia. No exact date given; described as recent during FY16 earnings call (FY16 ended ~Oct 2016). Date is approximate.",event,ev_151d52e651c23ef4,Drexel University,Aramark,won on 2016-01-01 (confidence 0.8),|Fair Disclosure Wire; Linthicum | 2016-11-15,
needs_a_person,read the article and decide — this is the actual review queue,"Aramark failed to pay local minority-owned/small vendor partners for three months after the stadium opened. Described as a 'clerical' error. Not a health or wage violation in the traditional sense, but a contract/payment violation against subcontractor vendors. Reviewing whether this qualifies as a contract violation event.",event,ev_a4f21430519ab961,U.S. Bank Stadium,Aramark,violation on ? (confidence 0.82),|TCA Regional News; Chicago | 2016-11-02,
needs_a_person,read the article and decide — this is the actual review queue,Article reports Aramark failed to pay local/minority-owned food vendor partners for ~3 months after building opened. Categorized as a contract violation (payment failure to subcontracted vendors). Exact date unclear; payments began being made late October 2016 per article context. Aramark confirmed as concessionaire at the venue but no contract award event is reported here.,event,ev_1d9b218f0ccdcaa8,U.S. Bank Stadium,Aramark,violation on ? (confidence 0.85),"|Star Tribune; Minneapolis, Minn. | 2016-11-02",
needs_a_person,read the article and decide — this is the actual review queue,"Article says 'This week, Aramark took over the Drexel dining program.' Published 2016-11-03, so 'this week' is approximately early November 2016. Exact date not stated. Venue matched to Drexel University. It's unclear if this is the first outsourcing or a switch from another provider.",event,ev_64efa60cf7877d3b,Drexel,Aramark,won on 2016-11-01 (confidence 0.85),"|Philadelphia Daily News (1960-); Philadelphia, Pennsylvania | 2016-11-03",
needs_a_person,read the article and decide — this is the actual review queue,"Article says Aramark is 'slated to become Drexel's new food-service provider next month' (i.e., December 2016). The phrasing 'slated to' suggests this is decided but not yet in effect. Marking for review because it could be interpreted as still pending. The venue is Drexel University as a whole, not a specific stadium/arena.",event,ev_92a4f6990b5e30cd,Drexel,Aramark,won on 2016-12-01 (confidence 0.7),|Philadelphia Inquirer (1969-); Philadelphia | 2016-11-16,
needs_a_person,read the article and decide — this is the actual review queue,"Article says Drexel cancelled its contract with SodexoMagic on Sept. 20, to conclude 'this December'. No successor announced yet; Aramark is rumored but not confirmed. Using 'expired' because the contract is ending with no successor named in the article. The 21-year partnership implies the contract began circa 1995. Date precision is month since only 'this December' is stated.",event,ev_66dd1c7bd79cd51c,Drexel University,Sodexo,expired on 2016-12-01 (confidence 0.85),|University Wire; Carlsbad | 2016-10-21,
needs_a_person,read the article and decide — this is the actual review queue,"Article states 'Drexel terminated the contract last month' (article dated 2016-10-10, so September 2016). This is a termination by the university, not a normal contract switch — no successor is named. Classified as 'lost' since Drexel ended the contract. Exact date in September unknown.",event,ev_27cf5d4cc3acfdd0,Drexel University,Sodexo,lost on 2016-09-01 (confidence 0.85),"|The Daily Record; Baltimore, Md. | 2016-10-10",
needs_a_person,read the article and decide — this is the actual review queue,Article states Aramark 'won the contract to run the all-important catering operations' at U.S. Bank Stadium. No specific date given for when the contract was awarded; the stadium opened in 2016. No contract term or value stated.,event,ev_0d78ee36e0ac1ed1,U.S. Bank Stadium,Aramark,won on ? (confidence 0.9),|TCA Regional News; Chicago | 2016-11-03,
needs_a_person,read the article and decide — this is the actual review queue,"Both sides terminated the 10-year contract early. SodexoMAGIC will stay until Dec. 10 (year not explicitly stated but context implies 2016, i.e., end of the fall academic term). No successor named. Article says 'Both sides have terminated their contract' — mutual termination rather than natural expiration.",event,ev_cc8ebaa2e87c3f73,Drexel University,Sodexo,expired on 2016-12-10 (confidence 0.85),|Philadelphia Inquirer (1969-); Philadelphia | 2016-10-11,"Imagine never being able to go out to eat in your own city. That's the reality for Jewish residents who keep kosher strictly, as the second largest city in New England has no kosher-certified restaurants. While that's not a complete surprise, given a decline i…"
needs_a_person,read the article and decide — this is the actual review queue,"Eric Foss states 'we've recently signed two leading universities, Drexel University and Temple University'. No specific date given; described as recent. Likely an education/dining contract. Date needs review.",event,ev_4605d693ee6f70b1,Drexel University,Aramark,won on ? (confidence 0.82),|Fair Disclosure Wire; Linthicum | 2016-11-15,
